complexity,path
2,x-pack/plugins/infra/public/pages/logs/log_entry_rate/sections/anomalies/index.tsx
12,x-pack/plugins/infra/public/pages/logs/log_entry_rate/sections/anomalies/log_entry_example.tsx
11,x-pack/plugins/infra/public/pages/logs/log_entry_rate/sections/anomalies/table.tsx
1,x-pack/plugins/infra/public/pages/logs/log_entry_rate/use_log_entry_rate_results_url_state.tsx
1,x-pack/plugins/infra/public/pages/logs/page_content.tsx
2,x-pack/plugins/infra/public/pages/logs/page_template.tsx
21,x-pack/plugins/infra/public/pages/logs/settings/form_elements.tsx
1,x-pack/plugins/infra/public/pages/logs/settings/form_field_props.tsx
4,x-pack/plugins/infra/public/pages/logs/settings/index_pattern_configuration_panel.tsx
4,x-pack/plugins/infra/public/pages/logs/settings/index_pattern_selector.tsx
4,x-pack/plugins/infra/public/pages/logs/settings/indices_configuration_panel.tsx
11,x-pack/plugins/infra/public/pages/logs/settings/log_columns_configuration_panel.tsx
10,x-pack/plugins/infra/public/pages/logs/settings/source_configuration_form_errors.tsx
3,x-pack/plugins/infra/public/pages/logs/settings/source_configuration_form_state.tsx
12,x-pack/plugins/infra/public/pages/logs/settings/source_configuration_settings.tsx
4,x-pack/plugins/infra/public/pages/logs/stream/page_content.tsx
28,x-pack/plugins/infra/public/pages/logs/stream/page_logs_content.tsx
2,x-pack/plugins/infra/public/pages/logs/stream/page_no_indices_content.tsx
9,x-pack/plugins/infra/public/pages/logs/stream/page_providers.tsx
13,x-pack/plugins/infra/public/pages/logs/stream/page_view_log_in_context.tsx
3,x-pack/plugins/infra/public/pages/metrics/index.tsx
7,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/bottom_drawer.tsx
14,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/layout.tsx
4,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/ml/anomaly_detection/anomalies_table/annomaly_summary.tsx
34,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/ml/anomaly_detection/anomalies_table/anomalies_table.tsx
2,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/ml/anomaly_detection/anomalies_table/pagination.tsx
7,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/ml/anomaly_detection/anomaly_detection_flyout.tsx
23,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/ml/anomaly_detection/flyout_home.tsx
36,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/ml/anomaly_detection/job_setup_screen.tsx
3,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/node_details/overlay.tsx
1,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/node_details/tabs/logs.tsx
28,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/node_details/tabs/metrics/metrics.tsx
2,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/node_details/tabs/osquery/index.tsx
6,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/node_details/tabs/processes/index.tsx
3,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/node_details/tabs/processes/process_row.tsx
11,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/node_details/tabs/processes/process_row_charts.tsx
16,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/node_details/tabs/processes/processes_table.tsx
1,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/node_details/tabs/processes/state_badge.tsx
5,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/node_details/tabs/processes/summary_table.tsx
7,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/node_details/tabs/properties/index.tsx
4,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/node_details/tabs/properties/table.tsx
7,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/nodes_overview.tsx
1,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/search_bar.tsx
18,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/table_view.tsx
26,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/timeline/timeline.tsx
9,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/conditional_tooltip.tsx
2,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/custom_field_panel.tsx
2,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/gradient_legend.tsx
5,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/group_name.tsx
2,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/group_of_nodes.tsx
1,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/interval_label.tsx
4,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/legend.tsx
13,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/legend_controls.tsx
5,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/map.tsx
16,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/metric_control/custom_metric_form.tsx
14,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/metric_control/index.tsx
8,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/metric_control/metrics_context_menu.tsx
2,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/metric_control/mode_switcher.tsx
13,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/node.tsx
13,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/node_context_menu.tsx
1,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/stepped_gradient_legend.tsx
1,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/steps_legend.tsx
5,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/waffle_accounts_controls.tsx
14,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/waffle_group_by_controls.tsx
5,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/waffle_region_controls.tsx
3,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/waffle_sort_controls.tsx
4,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/waffle_time_controls.tsx
8,x-pack/plugins/infra/public/pages/metrics/inventory_view/index.tsx
11,x-pack/plugins/infra/public/pages/metrics/metric_detail/components/chart_section_vis.tsx
7,x-pack/plugins/infra/public/pages/metrics/metric_detail/components/gauges_section_vis.tsx
16,x-pack/plugins/infra/public/pages/metrics/metric_detail/components/metadata_details.tsx
7,x-pack/plugins/infra/public/pages/metrics/metric_detail/components/node_details_page.tsx
3,x-pack/plugins/infra/public/pages/metrics/metric_detail/components/page_body.tsx
1,x-pack/plugins/infra/public/pages/metrics/metric_detail/components/page_error.tsx
9,x-pack/plugins/infra/public/pages/metrics/metric_detail/components/section.tsx
